"","CCL21","IGFBP6","MMP7","LOC441763","KRT7","TMEM158","PRKCDBP","MYH11","PPP1R14A","ZIC2","GCUD2","UBA6","MYB","FLJ20273","PTMA","PBK","SLC12A2","SMARCAD1","MAD2L1","KLF5"
"GSM2235866",8.053064,9.743946,14.60695,10.079184,9.827297,11.657718,10.835391,11.75332,9.04804,7.24797,7.823343,9.373238,9.294784,9.752857,11.613675,8.640563,10.361114,8.548417,9.594093,9.702472
"GSM2235867",8.919603,8.959961,11.30105,9.54452,11.556867,10.003779,10.859204,13.51482,9.642731,8.444632,8.359397,9.619293,10.176197,10.443903,11.522433,8.856355,10.707191,8.55166,10.07238,9.881589
"GSM2235878",9.294784,8.941845,13.587803,9.027861,7.294196,11.40187,9.379587,10.062451,9.210879,7.556257,8.529472,8.862751,9.262067,9.691449,10.741065,9.135637,9.344542,8.041694,9.523041,8.170624
"GSM2235879",9.16979,11.157961,14.040739,9.616052,7.87578,11.980335,12.049153,11.862444,8.481268,8.739963,7.869683,10.029125,7.437817,9.153048,11.552607,8.793101,8.881272,8.462527,9.481474,8.463723
"GSM2235881",9.432791,8.582389,11.258787,9.166598,10.758591,11.342674,9.360876,11.643366,8.234197,7.044144,6.934864,9.055601,10.462761,10.659426,11.421042,7.733112,10.04214,8.49376,9.27292,9.188711
"GSM2235882",9.55171,9.671534,11.613675,9.588839,10.058796,10.465657,10.010606,11.633469,9.157209,6.009455,8.160182,8.794342,9.214118,10.173522,10.927417,8.737901,9.873005,8.066622,9.461681,8.475002
"GSM2235883",10.358933,9.505946,8.693261,8.994668,9.169348,11.730275,10.59426,12.808821,9.767374,5.98215,7.193206,8.675356,9.202519,11.047778,11.055674,9.244694,11.330078,8.236071,9.536868,8.043507
"GSM2235884",10.229912,11.185675,8.310209,9.192907,9.357875,11.247881,10.637195,11.151664,8.245833,6.460027,7.166328,8.828424,11.700447,9.771266,11.320751,7.487694,12.115483,8.316651,7.892039,8.336859
"GSM2235886",8.634584,10.846958,13.241499,9.387463,9.419956,12.143329,10.9462,9.597818,8.135149,8.933269,8.645272,9.287069,9.798764,9.910065,11.580706,9.667886,9.706859,8.097342,9.650677,8.658585
"GSM2235888",10.461254,8.995115,12.228049,10.3653,9.43031,10.608976,11.069649,11.58886,9.072146,6.205281,7.599293,8.818925,10.529134,10.641936,11.660542,8.399114,11.355455,8.383726,8.715908,9.059204
"GSM2235889",8.700946,7.671083,12.742068,10.827548,10.822226,11.243358,9.649632,9.799294,11.377937,5.714232,8.489096,9.730258,11.450937,9.567496,11.20207,8.153025,10.243016,8.491405,7.149489,10.191726
"GSM2235899",9.179803,9.902506,14.753716,9.481474,11.117673,11.34381,10.68043,11.257639,8.460614,9.203942,8.278754,9.132894,9.45013,9.899125,11.369522,9.349034,9.911212,8.523931,9.910065,8.69803
"GSM2235901",6.679037,10.650653,12.799217,9.17893,10.494545,11.674698,11.326518,9.673128,10.177558,8.373877,7.865692,8.385271,8.862308,9.237579,10.502699,7.942405,9.427801,8.185884,8.898635,9.055175
"GSM2235902",9.94875,11.58211,6.784628,10.26827,9.040619,11.027206,11.2389,14.315948,11.943808,6.094048,6.500246,8.641776,8.456281,9.000792,10.897086,6.548343,9.736779,8.20196,7.808045,8.27574
"GSM2235903",7.133286,9.873005,7.437501,10.277561,10.25826,11.528987,10.483981,12.079102,8.794746,7.109142,7.637814,9.454643,11.040848,9.992908,11.434802,8.419044,9.989263,8.367015,8.666119,9.816291
"GSM2235904",6.660284,11.266442,12.887923,9.27998,12.15772,11.770522,11.111442,13.802279,10.597353,5.984617,8.238337,9.516812,9.278095,9.51159,10.978623,8.276886,8.619036,8.479335,8.565298,9.55277
"GSM2235906",7.274839,8.617437,10.813572,9.721542,10.521565,11.512935,9.710128,10.191726,7.883052,9.310537,8.215051,9.00124,11.281021,10.410823,11.725744,8.844639,10.673882,8.364331,10.252947,9.811176
"GSM2235928",9.02464,9.993504,10.700656,8.715908,11.847936,11.987442,11.310246,10.063683,7.71856,8.528281,8.615882,9.614427,9.672064,9.949999,11.246782,9.51527,9.237579,8.400266,9.028274,8.948715
"GSM2235931",8.947869,7.818765,11.057738,9.069041,8.567685,9.959359,8.815955,9.627728,7.575306,5.99901,8.849644,9.564867,9.714536,10.841634,11.99655,8.754941,11.918197,8.534253,8.550459,9.718827
"GSM2235933",10.553521,12.15772,12.786048,10.634807,8.023272,11.457404,11.214868,13.324275,10.639554,5.876904,6.687306,8.19,8.975208,8.870668,10.885212,7.17405,9.466654,7.370225,7.852233,8.163196
"GSM2235934",10.239851,9.538957,13.587803,10.042791,6.859889,11.811377,10.512517,11.311421,8.284388,6.048822,7.972504,9.319192,9.838042,9.303865,11.190058,8.995542,9.483029,8.5,9.429824,8.021073
"GSM2235944",12.135161,11.033082,10.470731,9.778337,8.400665,10.935936,11.055674,14.293276,11.41272,7.985235,6.624351,8.007878,10.953778,9.049803,10.830191,6.758522,10.806439,8.331482,7.335211,8.082156
"GSM2235945",8.851767,9.881589,13.393519,10.18333,9.206765,11.221351,10.221422,12.499384,9.045391,5.70606,8.258212,9.639016,8.650175,9.043211,10.672325,8.427168,9.056007,8.184746,9.558146,8.55166
"GSM2235947",8.125157,8.003903,9.077597,9.438807,10.974671,9.804959,10.428086,8.364331,7.42135,10.243016,8.431882,9.588322,11.123771,10.187193,11.28215,10.152581,10.177558,8.163538,9.587277,9.571618
"GSM2235948",11.244498,10.377327,7.413665,8.381859,6.295468,11.95243,11.966157,14.219418,11.833248,5.86338,6.99289,8.739131,8.038749,7.248586,10.650653,6.988194,8.973487,8.541709,7.308312,6.489714
"GSM2235950",11.862444,10.898861,5.982596,8.16207,6.067165,11.150616,11.373072,14.419212,12.318031,6.647666,6.269936,8.716299,7.474297,6.756796,10.235973,6.149612,9.201623,8.194472,6.545563,6.254512
"GSM2235951",9.380071,10.735326,12.533436,10.048321,9.596231,11.106322,11.536937,14.271338,11.985592,6.570417,6.372095,8.651828,8.237995,8.196004,10.948019,7.32443,10.176871,8.435767,7.567014,8.034827
"GSM2235952",6.067353,8.264886,14.365182,9.142024,11.854352,11.19327,11.831799,9.14844,7.584677,8.180622,7.783479,9.712916,8.76184,9.580459,11.789245,8.821421,9.179381,8.488338,9.347501,9.972987
"GSM2235955",6.623268,9.368768,9.058258,9.521465,10.584167,11.136197,11.07965,12.40163,8.664505,9.462716,7.349678,8.724053,10.244322,9.791845,11.26319,8.902899,11.587538,8.496867,9.859611,9.544037
"GSM2235957",8.084833,8.833811,11.895945,10.662645,9.312482,10.77891,9.880415,11.684713,8.09365,7.719958,7.384571,9.73786,12.213228,9.681673,10.71693,8.076687,10.043999,8.387938,9.525644,9.130593
"GSM2235958",9.013057,9.487563,8.479721,9.373238,9.95291,10.632461,10.550512,14.315948,10.93767,6.099057,7.140455,8.624237,8.944842,8.950852,10.670699,7.166634,10.857395,8.053064,7.351654,7.811981
"GSM2235962",6.798002,9.648598,13.82234,10.527639,12.119375,11.477868,12.163714,11.878874,8.016268,9.817447,7.935229,8.568506,10.736154,8.529472,11.392355,8.446189,8.315496,8.227462,7.686954,9.087499
"GSM2235965",7.714291,10.536821,7.167589,10.81266,9.222598,14.20907,10.331343,6.100629,9.727506,9.890311,9.24518,8.798495,8.010487,7.200439,10.280314,10.136127,8.128084,7.966239,6.764944,9.79982
"GSM2235966",9.068605,8.833811,8.700128,11.434802,7.066558,9.457653,10.791005,12.324697,9.413155,5.966298,6.355066,8.455478,8.567685,10.398745,10.569459,6.638148,10.49528,8.304458,6.67855,7.846774
"GSM2235967",6.158125,7.434814,6.088736,11.159013,8.96651,11.79408,10.272141,7.66898,7.966591,8.494958,8.585202,8.455881,11.960876,6.432985,10.182067,10.34233,8.880423,8.405615,9.033568,7.703704
"GSM2235970",9.486042,11.703355,14.088746,10.691749,11.2389,10.919893,11.693284,10.888819,8.691194,6.138339,7.000821,9.317741,9.899703,9.324496,9.80779,7.924717,9.637384,8.541709,7.38856,8.339923
"GSM2235971",9.162807,10.243641,6.491556,9.739477,7.086413,9.942386,10.349914,11.737865,8.858922,7.734547,6.865241,8.438091,11.966157,9.932996,10.133583,8.730148,11.122768,8.251052,6.635712,8.308692
"GSM2235974",6.537275,7.381877,10.415875,10.293142,12.145462,9.302403,8.942254,8.262674,9.47124,8.489472,8.580416,8.871506,10.323791,9.674203,9.786821,8.936288,8.832957,8.50751,7.169482,9.900829
"GSM2235975",6.154722,7.708392,9.191544,10.817804,6.267506,9.371736,8.640146,7.880817,8.054497,5.992158,8.3548,9.587277,11.264308,10.481049,10.724497,9.421947,10.168289,8.257438,8.273136,9.250295
"GSM2235976",9.077597,7.88484,6.085146,9.612253,7.087907,10.561099,9.394748,7.149817,7.756663,9.583095,8.598358,10.282353,11.542125,9.72588,10.261653,9.645956,9.928298,8.003903,7.549261,10.368189
"GSM2235978",6.736507,9.335813,14.707594,10.511762,6.332202,10.390888,10.217535,8.879141,7.763845,8.011238,6.839001,8.647345,10.134216,9.273351,10.303174,8.614738,10.097164,8.356337,8.453926,7.794803
"GSM2235979",8.520789,10.243016,10.76027,10.540609,9.865974,11.326518,11.037008,12.228049,9.724271,6.222586,7.26731,8.520015,10.739383,9.665709,9.86949,8.048991,9.656603,8.151938,8.503527,8.136266
"GSM2235981",7.632493,8.733022,11.974955,10.222096,8.230793,10.557261,9.629859,8.977844,7.99178,7.879347,7.449257,8.956508,9.048475,9.422912,9.860757,8.240967,8.724817,8.014099,8.163936,8.015907
"GSM2235982",7.568051,9.075763,13.360687,10.524562,11.809742,10.596602,11.22461,12.950763,8.809752,8.206446,7.073463,9.213644,10.634807,9.658172,9.945815,8.400665,9.474849,8.255556,8.546027,8.260046
"GSM2235983",9.366786,9.537385,11.128957,10.738576,6.585242,10.322408,10.581081,12.795863,10.026689,6.251412,7.288379,8.933269,10.037156,9.298605,10.182721,9.508001,9.59888,8.29881,8.763543,7.408684
"GSM2235984",8.466425,9.564867,10.840753,10.260966,9.581512,10.506456,10.664246,11.221351,9.860757,9.451069,8.032676,8.766394,9.718827,9.424397,9.866587,8.623064,9.00259,8.378867,9.218795,8.181748
"GSM2235985",9.756803,8.88335,11.049772,10.288407,11.234362,11.701926,9.804374,11.038914,9.282867,5.950136,7.148255,9.061855,8.513475,9.899703,9.262067,8.67655,9.371251,7.774216,7.917064,8.367423
"GSM2235986",8.223742,8.276886,9.958773,10.535291,9.135637,10.343035,9.924187,12.082849,8.671781,7.484927,7.320134,8.999502,11.075689,10.0847,9.934768,9.317741,10.213069,8.56244,8.928132,8.560494
"GSM2235987",10.102226,11.021328,13.896073,10.738576,12.742068,12.126995,11.980335,12.585339,8.542884,9.005616,7.131695,9.241398,9.453634,9.275703,10.252947,9.801486,9.431293,8.51311,9.029584,8.425259
"GSM2235991",9.395712,10.170893,13.815676,9.491586,8.72123,10.577237,11.02229,12.697284,9.492072,5.675146,6.587947,8.420968,8.279502,9.235276,11.014469,7.017984,9.02464,7.774216,9.090269,8.790209
"GSM2235992",6.739152,10.323106,11.590262,9.366276,10.701451,9.845948,10.343035,11.742339,8.866506,5.868662,7.81982,8.643745,11.056692,9.470246,11.258787,8.754941,10.814393,8.488716,8.054131,9.965909
"GSM2235993",10.044592,9.580992,13.643346,9.425373,7.556257,10.868055,10.088374,12.280061,9.208589,5.71542,7.647222,9.075347,10.581081,9.769601,11.551263,8.601544,10.030963,8.429155,8.329555,8.529472
"GSM2235994",7.193863,9.060122,7.822623,9.573705,6.336368,12.541605,11.572762,14.521454,12.507469,5.758303,6.127461,8.725206,5.895188,5.765225,10.844335,5.882317,9.044958,8.044945,5.944335,5.851241
"GSM2235996",5.866849,10.444634,9.550698,10.76786,10.554267,12.898044,10.726126,9.71825,8.951742,6.615204,6.637474,8.871083,11.649164,8.835873,11.369522,8.014848,10.945245,7.28347,6.225126,8.236434
"GSM2235997",8.128084,8.691636,9.301923,10.442456,11.890831,11.960876,10.573427,9.394261,7.940983,9.100766,9.32595,9.495569,11.613675,9.263041,10.966998,9.18305,10.127173,8.262287,7.243801,9.834123
"GSM2235999",7.722829,8.708218,7.072579,9.580992,11.548665,10.400838,10.326578,10.192992,8.369357,6.316297,8.277267,9.589365,10.489275,9.81294,11.052733,10.536821,8.911081,8.331863,8.857236,9.386078
"GSM2236000",6.983233,9.953497,8.90507,10.301198,9.114354,10.16762,9.647047,11.213811,9.033568,5.728674,8.260046,9.232903,9.648087,8.91489,10.564133,8.26791,8.182123,8.212879,6.624553,8.991591
"GSM2236003",7.003146,9.705773,10.376578,7.828408,9.971854,8.888428,11.021328,14.446868,11.764245,5.975412,6.572308,8.58199,9.119787,9.105209,10.412278,7.376484,10.626995,8.398714,6.925035,8.81975
"GSM2236004",7.682713,8.490628,8.126256,10.945245,10.690943,9.494096,9.254021,9.842,7.966591,8.381463,7.079423,9.340673,10.688605,10.085296,11.002751,7.677426,9.878163,7.810574,8.198978,9.650677
"GSM2236005",6.139426,9.639016,11.212768,9.399648,11.89954,11.262064,11.008563,9.279509,8.061789,5.638098,8.497652,9.460172,10.630164,9.454137,11.662028,9.48906,7.834134,8.181372,7.823701,10.115821
"GSM2236006",6.579361,8.091095,6.024862,9.160503,8.361302,10.76027,9.789567,13.094025,10.414435,6.906322,8.72443,8.736263,8.721633,10.629358,11.598389,7.958858,10.211809,8.544052,8.813468,10.335529
"GSM2236007",7.85915,10.616016,13.930595,9.961747,8.552843,10.93767,11.156919,12.688493,8.535836,9.92887,7.753125,9.995914,10.459097,9.427801,11.239987,8.511894,10.354158,8.419823,8.611949,8.699284
"GSM2236008",10.640378,10.96323,10.918067,9.658693,9.621941,10.114592,11.015429,14.240314,11.120693,5.964163,6.628094,8.711855,8.96207,8.619454,11.652058,7.194494,10.026689,8.304093,6.950801,7.620627
"GSM2236012",8.745669,8.040965,14.261298,8.169872,11.137138,12.098118,10.532928,9.778902,8.578045,7.575991,8.278576,10.324509,10.840753,9.925394,11.41272,8.633758,10.488553,8.466425,10.164275,9.279509
"GSM2236013",9.643277,8.693261,13.869038,9.407191,8.827579,10.14177,9.495079,9.655481,9.059204,5.72546,8.774877,9.877609,9.631472,9.831905,10.895253,10.452526,9.418483,8.291213,9.385115,9.227273
"GSM2236015",9.153979,9.026004,9.425868,6.861516,9.996555,10.637195,11.230025,14.391595,11.964405,7.113028,7.103684,9.354416,11.387508,9.857272,11.356588,8.061067,11.9063,8.485219,7.738845,9.075347
"GSM2236021",10.672325,9.737319,11.949091,7.493774,9.018423,9.9014,12.000082,14.293276,11.394646,6.146426,7.359258,9.448068,9.588322,9.28238,10.799551,8.917893,11.220343,8.56244,8.299951,9.666286
"GSM2236025",10.649899,9.720459,12.368282,9.003483,8.638595,10.898861,9.84762,13.216162,9.102977,6.160503,7.920761,9.381127,9.855021,9.93007,12.782854,7.522224,11.211711,8.490628,7.419698,9.671036
"GSM2236026",9.044516,10.469299,9.479406,8.185516,7.314565,11.492276,10.6044,14.188783,11.770522,7.04082,7.279968,9.321082,9.229172,9.080295,12.219644,6.325531,10.975614,8.386019,6.663297,9.752308
"GSM2236037",8.526673,9.681184,13.875654,10.45181,11.564762,10.905272,11.624986,13.744891,10.301891,6.799822,6.858257,8.827579,7.485955,9.73838,10.14368,7.221093,8.645272,8.259294,7.480423,8.841759
"GSM2236043",8.861908,8.971321,12.624692,10.646756,7.005815,10.166955,10.23127,11.089794,9.465707,5.908071,7.839161,9.169348,10.011911,9.669996,10.428086,9.213644,10.670699,8.511503,9.260184,8.801348
"GSM2236045",6.355493,7.533196,13.017975,9.146568,10.698195,9.000792,8.399886,10.985255,6.621738,8.120996,8.744406,9.977259,11.164354,10.931187,12.47418,9.301923,11.657718,8.498444,10.208623,10.436089
"GSM2236047",9.184959,9.339682,9.889709,9.79705,8.611541,9.811176,10.198933,11.748585,10.150024,6.930305,9.04804,9.731407,11.507805,10.278941,13.994775,7.734189,11.985592,8.549641,8.8455,11.908017
"GSM2236049",10.729454,7.902893,8.69762,7.606656,6.965454,9.736251,9.406213,11.790886,9.80779,6.034129,10.436089,10.163042,11.40187,9.138346,14.002306,9.682198,12.07151,8.371243,9.900276,10.921756
"GSM2236051",9.545028,8.855075,11.650624,7.374202,8.867735,9.686623,10.640378,13.744891,10.874384,5.968724,8.847169,9.853329,11.335794,10.388715,13.757123,8.141074,12.403961,8.148154,8.378493,12.442389
"GSM2236054",7.512976,10.204747,8.21962,10.026689,9.628811,10.252947,11.148563,14.122403,11.052733,8.783624,6.641495,8.904632,11.691858,9.031782,11.603839,9.003039,10.727783,8.458209,8.460614,8.594733
"GSM2236058",7.726322,8.517705,13.545522,10.252947,8.12024,10.088999,10.425983,13.509656,9.525143,6.217208,7.774216,8.887587,10.687769,9.449613,10.784009,8.090707,10.260966,8.376964,9.104773,9.077147
"GSM2236059",8.649798,10.008191,10.278258,10.202219,7.068937,12.489286,11.137138,11.71515,9.551203,6.146825,7.462056,9.274285,9.882766,10.077889,11.025194,8.350155,9.90888,8.401795,8.289686,9.628811
"GSM2236060",9.431788,10.293818,10.658633,10.93019,8.440037,12.764006,11.40301,13.571492,9.541479,9.571618,7.433496,8.880423,9.186802,8.741152,10.564133,8.452731,10.13233,8.062904,9.173,7.746761
"GSM2236062",7.552031,7.514308,9.003039,10.969864,7.928361,10.438876,10.068646,11.123771,8.265276,8.059943,7.497852,9.30049,11.409166,9.913539,10.993965,9.185396,10.226657,8.29651,9.637895,8.687088
"GSM2236064",8.079558,8.217306,13.695771,10.98919,8.141799,11.603839,10.504177,9.124311,7.39397,9.443939,7.814496,9.290005,12.08844,9.492561,11.304565,10.528397,10.665831,8.522708,9.515785,8.919603
"GSM2236066",10.478834,9.588839,7.636746,5.995776,9.843094,11.194364,10.088374,13.545522,10.665831,6.923957,8.266825,9.612253,11.273127,10.564133,11.699043,9.836338,11.415105,8.256319,9.142024,10.681241
"GSM2236067",8.395302,6.837903,15.095797,6.220317,5.944844,9.071708,9.782276,12.700309,9.184497,6.069178,8.499608,9.767374,9.123427,10.274892,11.624986,8.842172,11.601079,8.426786,9.519352,10.141104
"GSM2236073",6.573983,8.508694,9.383599,9.998321,8.226739,9.821011,9.818635,13.29782,10.318246,9.45616,9.651714,9.262067,9.288033,9.97903,12.679486,9.477886,10.272825,7.994681,9.149365,10.347867
"GSM2236078",7.483167,7.17896,9.443939,11.662028,7.19258,8.313281,10.664246,11.111442,8.509494,6.353233,8.922149,9.398675,11.567437,10.262297,12.891371,8.77692,10.840753,8.304093,9.670495,11.657718
"GSM2236080",6.476902,8.546406,13.320003,9.060122,6.578533,12.069553,10.524562,12.049153,9.171568,7.524331,9.017055,9.863064,10.984254,9.301923,12.644329,8.895166,11.19327,8.022526,9.300962,10.262949
"GSM2236083",9.128333,7.404593,8.343311,11.416243,6.352655,8.69803,9.372234,11.875671,8.436126,6.458166,6.596328,9.049803,8.180622,11.316045,12.871076,6.321923,12.077151,8.194858,6.669953,10.345077
"GSM2236086",6.612592,9.428805,10.031565,9.941753,7.88046,9.069938,10.218787,10.803817,8.72123,9.285213,7.232942,8.438091,11.809742,10.30054,10.63327,8.159828,10.786722,8.294628,8.831723,8.849245
"GSM2236088",7.011168,9.593593,11.226803,9.532733,9.912364,11.595627,9.916563,11.801959,8.81975,7.565228,8.165767,8.664112,12.812192,10.675488,10.48177,8.76929,11.321943,8.437301,9.594617,10.207342
"GSM2236090",9.505408,9.251223,13.271162,9.661885,9.303865,10.853945,10.077293,13.407679,10.045774,7.722117,6.21605,9.32595,12.050958,10.719477,11.295508,7.69872,11.388789,8.040194,8.894748,9.663502
"GSM2236094",6.722923,8.478935,13.802279,9.783411,8.98671,10.040859,9.719899,13.403079,9.181236,8.662166,8.904219,8.776516,12.241206,10.766166,10.826665,9.150284,11.218114,8.40986,9.717161,10.355504
"GSM2235566",8.248427,9.288033,8.525896,10.493749,10.704717,9.857272,11.165431,13.577028,10.372462,5.853832,7.601778,8.835873,10.524562,9.102977,10.127786,8.745669,7.708747,8.823383,7.303078,8.133297
"GSM2235573",8.445419,9.712324,12.297807,10.109,10.958453,10.321039,10.634807,13.923372,9.951761,6.069114,6.081448,7.803379,9.757855,8.836259,8.822199,7.097555,9.891503,8.629026,7.494801,7.08337
"GSM2235586",9.97903,11.603839,13.078589,9.367278,5.82957,10.776316,10.748584,13.609185,9.945815,7.133909,5.928787,7.610463,10.43021,8.03018,9.429824,7.622997,7.803379,8.677394,8.002049,6.111402
"GSM2235589",7.706619,9.290475,7.307996,10.25826,10.56644,11.555416,10.437512,10.124646,8.208352,8.404092,6.207243,8.345977,11.180362,8.750108,9.233363,9.004302,10.639554,8.839232,9.028274,8.293071
"GSM2235593",8.809752,9.063728,11.737865,9.894886,9.633046,10.574937,9.901965,10.821303,8.500396,10.608976,6.537275,8.51504,11.371868,8.965205,9.9014,10.452526,10.696559,8.952582,9.038391,7.770271
"GSM2235600",7.475665,10.528397,11.974955,9.866587,9.087966,12.604926,10.926469,10.958453,9.141546,8.642187,6.622833,8.689126,11.536937,8.641776,9.889709,8.928999,10.71052,9.195146,8.603132,7.280603
"GSM2235604",6.977834,8.989376,7.89924,10.399452,8.015201,11.205379,10.34163,9.484043,8.160182,7.877912,7.345433,8.361687,8.176849,8.871083,10.102847,9.257395,9.545028,8.845077,8.492967,7.82943
"GSM2235606",10.513267,11.690424,10.155168,10.222096,9.186334,12.027425,10.947127,13.436658,9.642202,8.284758,6.259748,7.753461,10.958453,8.641388,9.963512,7.342783,10.956527,8.896461,7.22238,7.018858
"GSM2235608",6.009402,8.001675,9.439313,10.171589,7.371891,10.270205,9.008654,9.347982,8.394524,9.841434,7.473325,8.835477,11.320751,8.875318,10.645977,10.099064,9.422441,8.760262,9.468725,8.75376
"GSM2235613",7.015924,8.310209,9.080778,10.623828,7.462374,11.14443,9.2531,10.318246,9.913539,6.063918,7.068644,8.97829,10.182721,8.607933,10.013116,9.992908,9.741702,8.905932,9.810648,8.121369
"GSM2235617",7.780995,9.79982,10.719477,10.319613,8.014487,10.84782,9.065046,10.074791,8.33956,5.77122,7.279635,8.671378,12.147492,10.265636,10.997802,9.634648,10.595756,8.966924,9.714536,9.275703
"GSM2235619",8.151938,8.891426,10.578738,10.413008,8.479335,11.501346,9.706277,13.306759,9.625623,9.396209,7.708747,8.346372,10.9462,9.701911,10.520839,9.472264,11.62358,8.695604,8.777339,8.822993
"GSM2235621",6.964891,9.744507,10.308752,11.789245,10.351338,11.841324,9.051161,10.354158,8.030894,6.421161,8.314014,8.923442,11.973182,9.29286,10.792739,9.340204,11.436039,8.714657,8.640947,9.737319
"GSM2235622",10.444634,10.415875,6.83235,10.935936,8.287441,11.107351,10.616836,13.070949,9.533249,9.276654,6.607664,8.706592,12.067725,9.158629,10.871666,7.127118,12.209033,8.629026,7.750291,9.390406
"GSM2235626",8.720842,10.395236,10.614403,10.6044,9.158629,12.661633,10.945245,13.719869,9.851652,8.887587,6.796963,9.098493,11.488435,9.588839,11.358976,8.34484,11.082724,8.840078,8.285536,8.677784
"GSM2235630",8.948715,11.409166,8.008651,10.9462,6.338343,11.759712,11.331179,12.590797,10.073556,9.684413,6.129698,8.145512,11.379167,8.900732,9.823278,7.818413,11.806695,9.03314,7.288379,7.86205
"GSM2235695",6.186006,6.3049,11.17623,5.899497,11.27429,7.140791,8.728512,7.852581,7.120384,6.136586,9.792403,10.403031,9.513126,10.622326,12.812192,9.35988,10.021726,8.700548,9.158629,9.1817
"GSM2235696",7.266331,7.384571,5.923322,6.639286,6.767171,10.336912,8.694029,11.162223,7.513627,9.007371,8.545607,10.26827,12.494292,10.030343,11.415105,11.01059,11.033082,8.808074,10.719477,8.618228
"GSM2235698",6.072557,7.543514,6.827322,6.23126,7.012641,9.836338,8.635795,10.492297,9.396696,6.031722,8.115467,8.83339,9.593593,9.676347,9.723729,10.181415,11.019302,8.685896,8.531479,8.185131
"GSM2235701",6.3334,7.774216,8.22263,7.230032,6.291395,10.040268,7.87578,7.479735,8.438091,5.996399,8.348625,9.317741,12.476917,9.263511,9.852762,9.565922,11.059677,8.728951,9.486042,9.795319
"GSM2235702",7.066237,9.188234,14.048571,6.716435,10.323791,12.030985,9.986916,13.094025,9.000357,5.893907,8.010487,9.259227,10.143052,9.35886,10.237283,8.553697,10.203488,8.680623,8.46568,8.838398
"GSM2235705",7.636392,8.88335,13.965954,6.59402,6.537693,9.27524,8.800511,12.375339,8.858922,8.827161,7.750291,9.039684,10.374535,10.000771,10.622326,7.978305,10.345765,8.673752,8.448101,9.840346
"GSM2235707",8.466055,7.691887,10.396592,6.823924,9.651714,10.787612,9.321564,9.658693,7.977211,8.229684,8.660966,9.313486,10.962273,10.539846,11.063675,10.184639,11.030092,8.638595,10.500457,9.986272
"GSM2235711",7.536723,7.245393,13.577028,6.454366,7.082469,9.671036,8.94357,11.429771,8.370479,6.945378,8.195252,9.705235,11.020298,10.262949,11.146449,10.144304,11.13417,8.723244,9.984494,9.429824
"GSM2235712",5.644899,6.404502,7.731318,6.497049,7.851136,9.629859,7.84575,7.925454,8.017772,5.801416,9.41162,9.922439,11.333465,9.533726,11.02911,9.860179,10.423756,8.805945,8.850048,10.743462
"GSM2235713",7.841017,9.553843,11.501346,6.376039,8.410639,9.177137,9.863064,14.229819,11.206466,9.314933,6.913025,9.726906,11.465182,9.843692,11.030092,7.360584,12.324697,8.96607,7.738483,10.499037
"GSM2235714",6.258986,7.902893,10.348554,6.695272,7.175862,9.356421,9.37424,9.772386,7.667614,6.275961,8.757405,9.583095,11.489671,10.523132,11.253326,10.766166,11.836485,8.943138,9.420441,10.629761
"GSM2235715",7.710806,8.473089,12.63017,7.191274,7.624028,9.90888,8.473856,7.469519,7.357593,5.691958,9.067726,9.995343,11.019302,10.164913,11.148563,10.125883,9.742829,8.850886,10.252947,9.615516
"GSM2235716",5.873213,7.889868,10.350641,6.807206,7.461046,12.123162,8.96124,12.847739,8.287441,7.128004,9.706859,9.286602,12.754591,8.665717,11.613675,9.087499,10.981457,9.550205,9.924187,9.402654
"GSM2235717",8.791867,9.57893,10.701451,11.46384,6.556119,10.125271,11.166585,14.328301,10.143052,8.287441,6.905485,9.017972,11.745473,9.401125,9.54001,8.302207,11.992899,9.386078,7.683781,8.121749
"GSM2235723",6.254084,8.528281,7.690142,11.484554,8.304458,10.63327,10.096508,9.776152,7.950521,7.073463,8.486753,8.713847,10.389438,9.758421,9.831905,9.634122,9.432306,9.39917,9.366786,9.589878
"GSM2235724",8.02182,9.653862,12.857678,10.682871,10.983316,10.732001,11.091936,13.010299,8.829627,5.774102,7.890977,8.949151,10.098414,8.501541,9.934195,10.038362,8.938451,8.577651,9.435328,8.15079
"GSM2235725",6.545364,8.701758,10.088999,10.713688,10.165592,10.665021,10.739383,10.106522,7.867838,10.063059,7.56139,9.701376,8.682243,8.850048,10.313573,10.813572,7.444916,8.948271,9.386532,8.212493
"GSM2235726",9.167527,9.747304,12.789398,11.207539,5.554786,9.111248,10.689384,12.904755,8.89822,5.664927,6.752352,8.924724,10.27151,8.663748,9.448068,8.270861,8.756174,8.567685,8.087746,7.150446
"GSM2235728",9.394261,9.880984,10.339618,10.59426,9.422441,11.826894,11.20207,12.825032,8.823383,8.777339,7.651452,8.872371,10.93404,9.177137,10.182721,9.73083,10.66101,9.06462,8.628263,7.843553
"GSM2235729",8.491405,8.860605,12.271415,10.54215,9.603698,9.555986,10.997802,13.789437,9.648598,5.925988,7.354623,9.334302,9.109801,10.024213,9.886874,8.737477,9.989876,8.792684,8.703337,8.510282
"GSM2235731",7.187539,7.679919,6.124753,10.729454,5.916998,9.831905,8.131806,6.710673,7.359589,10.459097,8.116968,9.343599,12.103699,9.905988,10.89438,9.822709,11.472783,8.933269,9.048917,8.663334
